,T_P proba
boydwoo_str_m5_Al_o3_o7_sra_sym_56,1.0
gmof_AlO6-mof177-N_No5,1.0
gmof_Zn2O8N2-irmof14_A-irmof20_A_No5,1.0
boydwoo_str_m4_Al_o20_o23_acs_sym_211,1.0
boydwoo_str_m3_o20_o28_pcu_sym_56,1.0
TESGIJ_FSR,1.0
boydwoo_str_m3_o15_o17_nbo_sym_15,1.0
boydwoo_str_m1_o16_o26_pcu_sym_221,1.0
gmof_Al2O6-DPAC_B-irmof20_B_No325,1.0
IDIGIO_FSR,1.0
core_FEFDEB_manual,0.8082354587063936
gmof_Zn4O13-BDC_A-irmof20_A_No334,1.0
GUQNAI_FSR,1.0
CABJEX_FSR,1.0
boydwoo_str_m3_o13_o19_pcu_sym_27,1.0
gmof_Zn4O13-BDC_A-irmof20_A_No581,1.0
gmof_Zn2O8N2-DPAC_A-irmof7_A_No835,1.0
gmof_Zn2O8N2-AZO_A-irmof14_A_No287,1.0
boydwoo_str_m3_o3_o8_pcu_sym_18,1.0
MOF-5_cooh_2_120_2,1.0
GARQEY_FSR,1.0
boydwoo_str_m3_o3_o4_pcu_sym_218,1.0
boydwoo_str_m5_Al_o3_o27_sra_sym_35,1.0
BOYBUO_FSR,1.0
HUCXOU_FSR,1.0
KUHDEX_FSR,1.0
LODPOL_FSR,0.9668910910607397
boydwoo_str_m3_o11_o25_pcu_sym_76,1.0
core_REFTON_SL,1.0
boydwoo_str_m3_o16_o17_pcu_sym_46,1.0
gmof_Zn4O13-BDC_A-irmof20_A_No617,1.0
gmof_Al2O6-irmof20_B-irmof7_B_No305,1.0
LACFOM_FSR,1.0
LETWAI_FSR,1.0
gmof_Zn2O8N2-irmof16_A-irmof20_A_No236,1.0
boydwoo_str_m3_o2_o14_pcu_sym_151,1.0
boydwoo_str_m7_Zn_o11_o11_bcu_sym_114,1.0
gmof_Al2O6-DPAC_B-irmof10_B_No79,1.0
gmof_Zn4O13-irmof14_A-irmof16_A_No35,1.0
gmof_Zn2O8N2-ADC_A-irmof20_A_No689,1.0
boydwoo_str_m3_o4_o21_pcu_sym_4,1.0
boydwoo_str_m1_o1_o27_pcu_sym_38,1.0
KEVBUK01_FSR,1.0
gmof_Zn2O8N2-irmof10_A-irmof8_A_No267,1.0
gmof_Zn4O13-BDC_A-DPAC_A_No146,1.0
pyrene_GILFIT,1.0
gmof_Zn2O8-ADC_A-irmof7_A_No1099,1.0
ALIDUU_FSR,1.0
boydwoo_str_m3_o13_o20_pcu_sym_180,1.0
boydwoo_str_m5_Al_o13_o27_sra_sym_13,1.0
EDUDAK01_FSR,1.0
GECXUH01_FSR,0.8419579540199738
OKIJIC_FSR,1.0
IQOJAB_FSR,1.0
SIXFIQ01_FSR,1.0
boydwoo_str_m3_o1_o8_pcu_sym_63,1.0
boydwoo_str_m7_Zn_o1_o12_bcu_sym_164,1.0
gmof_Al2O6-irmof16_B-irmof6_B_No78,1.0
gmof_AlO6-DPAC_A_No23,1.0
YASNIQ_FSR,1.0
gmof_AlO6-pcn6_B_No13,1.0
boydwoo_str_m3_o11_o19_pcu_sym_120,1.0
tobacco_SR_ttv_v1-3c_B_Ch_v2-12c_Zr_1_Ch_1B_4H_Ch_2x2x2,1.0
boydwoo_str_m3_o7_o14_pcu_sym_103,1.0
core_BEPRIZ_freeONLY,1.0
DEKXUP_FSR,1.0
SETQUF_FSR,0.8378851856070827
boydwoo_str_m4_Al_o23_o23_acs_sym_103,1.0
boydwoo_str_m4_Al_o6_o7_acs_sym_130,1.0
OSIWIX_FSR,1.0
KAYJUS_FSR,1.0
gmof_Al2O6-irmof10_B-irmof7_B_No704,1.0
gmof_Zn2O8N2-ADC_A-irmof20_A_No836,1.0
boydwoo_str_m5_Al_o3_o13_sra_sym_32,1.0
gmof_Al2O6-ADC_B-fum_B_No215,1.0
boydwoo_str_m3_o3_o14_pcu_sym_60,1.0
tobacco_srsb_sym_3_on_2_sym_3_mc_0_L_6,1.0
boydwoo_str_m3_o13_o15_pcu_sym_193,1.0
ANAWOD_FSR,1.0
boydwoo_str_m3_o5_o22_pcu_sym_145,1.0
boydwoo_str_m1_o16_o18_pcu_sym_175,1.0
QOBZUD_FSR,1.0
GUTRIX_FSR,1.0
core_EKIGIQ_freeONLY,1.0
AWEXOR_FSR,1.0
boydwoo_str_m5_Al_o8_o16_sra_sym_23,1.0
gmof_Al2O6-irmof10_B-irmof7_B_No681,1.0
boydwoo_str_m1_o11_o25_pcu_sym_123,1.0
gmof_Al2O6-fum_B-irmof7_B_No167,1.0
JIQREJ_FSR,1.0
gmof_Al2O6-BDC_B-irmof10_B_No85,1.0
boydwoo_str_m3_o14_o14_nbo_sym_6,1.0
boydwoo_str_m3_o2_o11_pcu_sym_139,1.0
CASQEU_FSR,1.0
gmof_AlO6-irmof8_A_No1,1.0
boydwoo_str_m4_Al_o6_o20_acs_sym_227,1.0
FAPFEJ_FSR,1.0
gmof_Zn4O13-BDC_A-DPAC_A_No614,1.0
TUNJUJ_FSR,1.0
boydwoo_str_m5_Al_o6_o17_sra_sym_84,1.0
boydwoo_str_m3_o17_o28_pcu_sym_186,1.0
boydwoo_str_m3_o3_o27_pcu_sym_62,1.0
IQIMUS_FSR,1.0
gmof_Al2O6-BDC_B-irmof7_B_No540,1.0
gmof_Al2O6-DPAC_B-irmof7_B_No365,1.0
ULIBEY_FSR,1.0
gmof_Zn4O13-BDC_A-irmof20_A_No554,1.0
gmof_AlO6-irmof6_A_No15,1.0
VURMOL_FSR,1.0
boydwoo_str_m1_o14_o22_pcu_sym_82,1.0
gmof_Al2O6-BDC_B-irmof7_B_No221,1.0
LIVTER_FSR,1.0
boydwoo_str_m3_o2_o15_pcu_sym_131,1.0
WONKOB_FSR,1.0
gmof_Zn2O8N2-AZO_A-irmof20_A_No202,1.0
boydwoo_str_m5_Al_o19_o23_sra_sym_69,1.0
IWENII_FSR,1.0
boydwoo_str_m1_o10_o21_pcu_sym_128,1.0
gmof_AlO6-pcn6_B_No4,1.0
gmof_Zn2O8N2-DPAC_A-irmof6_A_No61,1.0
boydwoo_str_m1_o9_o11_pcu_sym_64,1.0
boydwoo_str_m7_Zn_o11_o24_bcu_sym_69,1.0
gmof_Zn2O8N2-irmof6_A-irmof8_A_No210,1.0
boydwoo_str_m5_Al_o2_o27_sra_sym_79,1.0
AMIKOX_FSR,1.0
FIPJAR01_FSR,1.0
boydwoo_str_m3_o4_o27_pcu_sym_157,1.0
boydwoo_str_m3_o14_o28_pcu_sym_258,1.0
tobacco_SR_cut_v1-8c_Hf_1_Ch_v2-3c_triazine_Ch_1B_4H_Ch_2x2x2,1.0
boydwoo_str_m3_o21_o28_pcu_sym_86,1.0
core_KOLWEO_freeONLY,1.0
VERQOA01_FSR,1.0
boydwoo_str_m3_o3_o9_pcu_sym_247,1.0
gmof_Al2O6-AZO_B-irmof20_B_No210,1.0
FEFHII_FSR,1.0
OCESUL01_FSR,1.0
gmof_Al2O6-irmof20_B-irmof7_B_No389,1.0
WIWTUU_FSR,1.0
OFEHEO_FSR,1.0
boydwoo_str_m1_o5_o15_pcu_sym_13,1.0
PUFVUJ_FSR,1.0
gmof_Al2O6-DPAC_B-irmof7_B_No709,1.0
gmof_Zn2O8N2-DPAC_A-irmof8_A_No229,1.0
boydwoo_str_m3_o13_o16_pcu_sym_48,1.0
boydwoo_str_m3_o14_o24_pcu_sym_108,1.0
boydwoo_str_m5_Al_o11_o19_sra_sym_132,1.0
boydwoo_str_m3_o22_o22_pcu_sym_69,1.0
IWEPUW_FSR,1.0
JOJJIC_FSR,1.0
TOHRUF01_FSR,1.0
gmof_AlO6-ADC_A_No7,1.0
gmof_AlO6-irmof6_A_No7,1.0
tobacco_srsb_sym_3_on_1_sym_3_mc_0_L_12,1.0
boydwoo_str_m3_o6_o17_pcu_sym_221,1.0
BAKYET_FSR,0.8279703306171036
gmof_AlO6-DPAC_A_No11,1.0
GIKQEY_FSR,1.0
boydwoo_str_m3_o3_o5_pcu_sym_36,1.0
NESFAT_FSR,1.0
core_IYOCIK_freeONLY,1.0
boydwoo_str_m4_Al_o20_o23_acs_sym_128,1.0
boydwoo_str_m3_o26_o28_pcu_sym_123,1.0
VAGMIB01_FSR,1.0
gmof_Zn2O8N2-irmof14_A-irmof8_A_No19,1.0
FODFIP_FSR,1.0
boydwoo_str_m3_o4_o14_nbo_sym_138,1.0
core_EKIGOW_freeONLY,1.0
ZIGQUE_FSR,1.0
gmof_Al2O6-irmof6_B-irmof7_B_No286,1.0
gmof_ZnN4-SiF6-irmof20_No3,1.0
gmof_Al2O6-BDC_B-irmof20_B_No9,1.0
boydwoo_str_m3_o1_o14_nbo_sym_274,1.0
RICREB01_FSR,1.0
core_MUNPER_freeONLY,1.0
boydwoo_str_m1_o1_o9_pcu_sym_123,1.0
LEHNIY_FSR,1.0
boydwoo_str_m3_o12_o16_pcu_sym_39,1.0
SINZIA_FSR,1.0
gmof_Al2O6-DPAC_B-irmof10_B_No15,1.0
gmof_Uio66Zr-BDC_A-irmof7_A_No300,1.0
gmof_Zn4O13-BDC_A-irmof20_A_No36,1.0
boydwoo_str_m4_Al_o17_o23_acs_sym_96,1.0
boydwoo_str_m3_o1_o8_pcu_sym_71,1.0
boydwoo_str_m5_Al_o11_o20_sra_sym_133,1.0
gmof_Zn2O8N2-ADC_A_No22,1.0
boydwoo_str_m1_o13_o26_pcu_sym_127,1.0
FOHMUM_FSR,1.0
boydwoo_str_m3_o2_o5_pcu_sym_93,1.0
gmof_Al2O6-BDC_B-DPAC_B_No237,1.0
gmof_Al2O6-AZO_B-irmof10_B_No65,1.0
gmof_AlO6-AZO_A_No22,1.0
ONOVAP_FSR,1.0
LUTKES_FSR,1.0
boydwoo_str_m3_o16_o22_pcu_sym_220,1.0
boydwoo_str_m4_Al_o2_o6_acs_sym_118,1.0
boydwoo_str_m3_o7_o11_pcu_sym_250,1.0
JOXBIJ_FSR,1.0
boydwoo_str_m3_o6_o21_pcu_sym_214,1.0
core_QOMRUH_freeONLY,1.0
boydwoo_str_m7_Zn_o8_o23_bcu_sym_22,1.0
NARRUW_FSR,1.0
boydwoo_str_m4_Al_o6_o20_acs_sym_201,1.0
gmof_Al2O6-BDC_B-irmof10_B_No73,1.0
KUTNIY_FSR,1.0
core_HUTTIA_freeONLY,1.0
gmof_CuN4-SiF6-DPAC_No10,1.0
core_ZISYAD_freeONLY,1.0
gmof_Zn2O8N2-ADC_A-DPAC_A_No320,1.0
BAXHEP_FSR,1.0
FUFROO_FSR,1.0
boydwoo_str_m5_Al_o8_o8_sra_sym_76,1.0
boydwoo_str_m3_o4_o7_pcu_sym_199,1.0
gmof_Zn2O8N2-DPAC_A-irmof14_A_No783,1.0
boydwoo_str_m5_Al_o2_o13_sra_sym_55,1.0
gmof_Zn2O8-ADC_A-irmof7_A_No1096,1.0
gmof_Al2O6-irmof20_B-irmof7_B_No316,1.0
boydwoo_str_m3_o18_o28_pcu_sym_92,1.0
gmof_Uio66Zr-BDC_A-irmof6_A_No58,1.0
JAPRIE_FSR,1.0
MUVYEJ_FSR,1.0
EMIQOG_FSR,1.0
boydwoo_str_m3_o1_o23_nbo_sym_66,1.0
boydwoo_str_m3_o3_o17_pcu_sym_86,1.0
FUBFEP_FSR,1.0
NEBVEY_FSR,1.0
MOF-5_cooh_2_1175_1,1.0
SARSUC_FSR,0.8514395066908379
DUJVUB_FSR,1.0
boydwoo_str_m5_Al_o26_o26_sra_sym_109,1.0
boydwoo_str_m3_o4_o14_pcu_sym_197,1.0
CUSQOX_FSR,1.0
core_XOMJOY_freeONLY,1.0
VAZHOW_FSR,1.0
gmof_Zn2O8N2-ADC_A-AZO_A_No588,1.0
MOF-5_cooh_2_469_2,1.0
gmof_Uio66Zr-irmof10_A-irmof14_A_No145,1.0
gmof_AlO6-irmof10_A_No5,1.0
boydwoo_str_m3_o3_o18_pcu_sym_183,1.0
QUVBOZ_FSR,1.0
gmof_Zn2O8N2-BDC_A-irmof10_A_No86,1.0
BOQSUW01_FSR,1.0
boydwoo_str_m3_o2_o3_pcu_sym_117,1.0
boydwoo_str_m7_Zn_o11_o11_bcu_sym_64,1.0
boydwoo_str_m7_Zn_o2_o13_bcu_sym_120,1.0
FUNBEW_FSR,1.0
CUTVET_FSR,1.0
ATEMAP_FSR,0.8008542610335796
boydwoo_str_m3_o3_o16_pcu_sym_139,1.0
UTELUC_FSR,1.0
boydwoo_str_m4_Al_o2_o23_acs_sym_29,1.0
TOYWOW_FSR,1.0
core_FORKUU_freeONLY,1.0
VEJYUV03_FSR,1.0
boydwoo_str_m3_o16_o29_pcu_sym_101,1.0
TOYWUC_FSR,1.0
tobacco_srsb_sym_3_mc_0_sym_3_on_1__,1.0
gmof_AlO6-pcn6_B_No12,1.0
boydwoo_str_m3_o2_o12_pcu_sym_19,1.0
NAVFEY_FSR,1.0
boydwoo_str_m1_o5_o9_pcu_sym_33,1.0
gmof_Al2O6-DPAC_B-irmof20_B_No13,1.0
gmof_Al2O6-DPAC_B-irmof7_B_No6,1.0
boydwoo_str_m3_o17_o25_pcu_sym_242,1.0
ELESOE_FSR,1.0
core_IYODAD_freeONLY,1.0
UWUTIQ_FSR,1.0
SIWHOY_FSR,1.0
gmof_Al2O6-AZO_B-irmof7_B_No258,1.0
boydwoo_str_m3_o23_o28_pcu_sym_68,1.0
gmof_Al2O6-fum_B-irmof7_B_No146,1.0
ROSGAJ_FSR,1.0
boydwoo_str_m5_Al_o18_o23_sra_sym_52,1.0
boydwoo_str_m3_o6_o23_pcu_sym_3,1.0
boydwoo_str_m3_o3_o7_pcu_sym_168,1.0
gmof_CuN4-SiF6-AZO_No3,1.0
boydwoo_str_m5_Al_o3_o6_sra_sym_85,1.0
CUPYZP02_FSR,1.0
gmof_Al2O6-AZO_B-irmof7_B_No436,1.0
boydwoo_str_m1_o26_o26_pcu_sym_75,1.0
CUYSAR_FSR,1.0
gmof_Al2O6-AZO_B-irmof7_B_No278,1.0
FENBUW_FSR,1.0
HOQFAU_FSR,1.0
gmof_Zn2O8N2-ADC_A-irmof7_A_No26,1.0
gmof_Zn4O13-BDC_A-irmof20_A_No520,1.0
ZIGQOY_FSR,1.0
boydwoo_str_m1_o1_o22_pcu_sym_198,1.0
gmof_ZnN4-SiF6-DPAC_No10,1.0
boydwoo_str_m7_Zn_o10_o22_bcu_sym_110,1.0
ZUTVAO_FSR,1.0
IJODES_FSR,1.0
gmof_Al2O6-ADC_B-BDC_B_No241,1.0
HACWIR02_FSR,1.0
core_OTOVAW_freeONLY,1.0
boydwoo_str_m3_o6_o14_pcu_sym_231,1.0
boydwoo_str_m3_o18_o26_pcu_sym_242,1.0
POLYEW_FSR,1.0
gmof_Zn2O8N2-ADC_A-DPAC_A_No550,1.0
boydwoo_str_m3_o7_o23_pcu_sym_58,1.0
boydwoo_str_m5_Al_o16_o27_sra_sym_32,1.0
CUSGOO_FSR,1.0
boydwoo_str_m3_o8_o16_pcu_sym_15,1.0
boydwoo_str_m3_o14_o24_nbo_sym_272,1.0
TAFCIO01_FSR,1.0
core_FUNGAY_freeONLY,1.0
SUFPAM_FSR,1.0
gmof_Zn4O13-BDC_A-DPAC_A_No714,1.0
gmof_Al2O6-DPAC_B-irmof7_B_No594,1.0
FAPFIN_FSR,1.0
core_GITTOT_manual,1.0
boydwoo_str_m3_o1_o24_nbo_sym_153,1.0
gmof_Al2O6-BDC_B_No6,1.0
gmof_Zn2O8N2-DPAC_A-irmof14_A_No433,1.0
boydwoo_str_m1_o4_o14_pcu_sym_152,1.0
boydwoo_str_m3_o18_o21_pcu_sym_112,1.0
gmof_Al2O6-fum_B-irmof7_B_No151,1.0
CIDWUJ_FSR,1.0
UTEMAJ_FSR,1.0
ETIXEM_FSR,1.0
DUWBAA_FSR,1.0
boydwoo_str_m4_Al_o2_o6_acs_sym_199,1.0
OJAGOX_FSR,1.0
gmof_Zn4O13-irmof20_A-irmof6_A_No126,1.0
core_FARFIO_freeONLY,1.0
PUFWEU_FSR,1.0
DIMBUY_FSR,1.0
SARTAJ_FSR,0.8510350827570563
core_QOZGAP_freeONLY,1.0
boydwoo_str_m3_o19_o22_pcu_sym_75,1.0
HIGWOL_FSR,1.0
IXEBIW_FSR,1.0
AKEGUT_FSR,1.0
BAXHIT_FSR,1.0
ELESEU_FSR,1.0
boydwoo_str_m3_o22_o22_nbo_sym_281,1.0
boydwoo_str_m3_o8_o11_pcu_sym_49,1.0
NABCIE_FSR,1.0
gmof_Al2O6-BDC_B-irmof7_B_No146,1.0
MICMAN_FSR,1.0
gmof_Zn2O8-AZO_A-irmof7_A_No839,1.0
FUNLEH_FSR,1.0
boydwoo_str_m4_Al_o6_o20_acs_sym_262,1.0
boydwoo_str_m3_o16_o22_pcu_sym_55,1.0
gmof_Zn2O8N2-AZO_A-irmof7_A_No168,1.0
FIBMAG_FSR,1.0
gmof_Zn2O8N2-AZO_A-irmof20_A_No376,1.0
boydwoo_str_m7_Zn_o20_o21_bcu_sym_93,1.0
gmof_Zn2O8N2-DPAC_A-irmof8_A_No452,1.0
TEXXOL_FSR,1.0
gmof_Al2O6-DPAC_B-irmof7_B_No382,1.0
gmof_Zn4O13-BDC_A-irmof20_A_No214,1.0
boydwoo_str_m1_o10_o12_pcu_sym_143,1.0
boydwoo_str_m1_o13_o18_pcu_sym_253,1.0
gmof_Zn2O8-irmof14_A-irmof16_A_No82,1.0
boydwoo_str_m3_o2_o26_pcu_sym_252,1.0
boydwoo_str_m3_o6_o9_pcu_sym_164,1.0
gmof_AlO6-DPAC_A_No9,1.0
gmof_Uio66Zr-irmof10_A-irmof14_A_No373,1.0
boydwoo_str_m3_o4_o17_pcu_sym_246,1.0
tobacco_SR_tsd_v1-6c_Hf_1_Ch_v2-4c_B_Ch_v3-4c_B_Ch_v4-3c_triazine_Ch_2B_fused_Ch_1x2x1,1.0
DUJWEM_FSR,1.0
boydwoo_str_m3_o18_o19_pcu_sym_70,1.0
boydwoo_str_m1_o19_o23_pcu_sym_104,1.0
boydwoo_str_m3_o8_o21_pcu_sym_68,1.0
gmof_Al2O6-irmof10_B-irmof20_B_No75,1.0
YERGIO_FSR,0.8182010743796526
CUTDOM_FSR,1.0
gmof_Al2O6-BDC_B-DPAC_B_No156,1.0
AWAWEB_FSR,1.0
ZEDROR_FSR,1.0
gmof_Zn4O13-BDC_A-DPAC_A_No940,1.0
BAYQAU03_FSR,1.0
GEVTEJ_FSR,1.0
gmof_Zn4O13-BDC_A-irmof20_A_No6,1.0
boydwoo_str_m1_o11_o14_pcu_sym_195,1.0
VUWZEV_FSR,1.0
gmof_Zn4O13-BDC_A-DPAC_A_No38,1.0
gmof_Al2O6-AZO_B-irmof10_B_No178,1.0
MANLET_FSR,1.0
FEXVUA_FSR,1.0
PAJRUQ_FSR,1.0
CEFDEY_FSR,1.0
boydwoo_str_m4_Al_o17_o23_acs_sym_98,1.0
SERCEZ_FSR,1.0
boydwoo_str_m3_o18_o23_pcu_sym_73,1.0
gmof_Zn4O13-irmof20_A-TED_A_No3,1.0
boydwoo_str_m1_o13_o18_pcu_sym_119,1.0
gmof_Zn4O13-BDC_A-DPAC_A_No1256,1.0
NARQOP_FSR,1.0
gmof_Al2O6-BDC_B-irmof7_B_No693,1.0
OXUNUR_FSR,1.0
boydwoo_str_m3_o23_o26_pcu_sym_20,1.0
boydwoo_str_m3_o2_o28_pcu_sym_81,1.0
BAXJIV_FSR,1.0
gmof_Zn4O13-irmof20_A-irmof6_A_No192,1.0
boydwoo_str_m4_Al_o17_o17_acs_sym_37,1.0
boydwoo_str_m1_o12_o21_pcu_sym_205,1.0
gmof_Zn2O8N2-AZO_A-DPAC_A_No34,1.0
MIVDON_FSR,1.0
HAZPEF_FSR,1.0
boydwoo_str_m4_Al_o2_o25_acs_sym_217,1.0
gmof_AlO6-irmof6_A_No8,1.0
VUWXUJ06_FSR,1.0
boydwoo_str_m4_Al_o17_o23_acs_sym_174,1.0
boydwoo_str_m1_o16_o26_pcu_sym_200,1.0
core_WIHWAN_freeONLY,1.0
boydwoo_str_m5_Al_o3_o23_sra_sym_8,1.0
gmof_AlO6-mofHTB_No6,1.0
boydwoo_str_m4_Al_o13_o21_acs_sym_47,1.0
boydwoo_str_m4_Al_o17_o25_acs_sym_181,1.0
gmof_Al2O6-AZO_B-BDC_B_No91,1.0
HISGEX_FSR,1.0
boydwoo_str_m1_o13_o13_pcu_sym_201,1.0
WAWGOQ_FSR,1.0
BAXHOZ_FSR,1.0
boydwoo_str_m1_o1_o5_pcu_sym_3,1.0
boydwoo_str_m5_Al_o21_o26_sra_sym_130,1.0
boydwoo_str_m3_o22_o29_pcu_sym_134,1.0
boydwoo_str_m3_o18_o18_pcu_sym_112,1.0
boydwoo_str_m7_Zn_o4_o11_bcu_sym_82,1.0
UBURIU_FSR,1.0
FUDQIF_FSR,1.0
gmof_Al2O6-DPAC_B-fum_B_No78,1.0
boydwoo_str_m3_o12_o21_pcu_sym_116,1.0
boydwoo_str_m1_o10_o18_pcu_sym_217,1.0
boydwoo_str_m3_o1_o5_nbo_sym_61,1.0
NUFTAJ_FSR,1.0
gmof_Al2O6-BDC_B-irmof6_B_No61,1.0
gmof_Al2O6-irmof20_B-irmof7_B_No387,1.0
gmof_AlO6-mof177-N_No29,1.0
RAQVEM_FSR,1.0
gmof_AlO6-mofHTB_No18,1.0
gmof_Uio66Zr-irmof10_A-irmof14_A_No489,1.0
boydwoo_str_m3_o7_o8_pcu_sym_30,1.0
boydwoo_str_m3_o7_o28_pcu_sym_133,1.0
boydwoo_str_m3_o3_o27_pcu_sym_25,1.0
gmof_Al2O6-irmof20_B-irmof7_B_No301,1.0
